央视,#genre#
CCTV12,http://httplive.slave.bfgd.com.cn:14311/playurl?playtype=live&protocol=http&accesstoken=R69383AD4U3098A04BK7843FCEEI2F3E2770P2BEFM328D2EBV20A50Z337D9W187F94689DF34BEB&programid=4200000131&playtoken=31611KKXZAMDCOE10&verifycode=2017721582
CCTV13,http://httplive.slave.bfgd.com.cn:14311/playurl?playtype=live&protocol=http&accesstoken=R69383AD4U3098A04BK7843FCEEI2F3E2770P2BEFM328D2EBV20A50Z337D9W187F94689DF34BEB&programid=4200000067&playtoken=31611KKXZAMDCOE10&verifycode=2017721582
CCTV14,http://httplive.slave.bfgd.com.cn:14311/playurl?playtype=live&protocol=http&accesstoken=R69383AD4U3098A04BK7843FCEEI2F3E2770P2BEFM328D2EBV20A50Z337D9W187F94689DF34BEB&programid=4200000132&playtoken=31611KKXZAMDCOE10&verifycode=2017721582
CCTV15,http://httplive.slave.bfgd.com.cn:14311/playurl?playtype=live&protocol=http&accesstoken=R69383AD4U3098A04BK7843FCEEI2F3E2770P2BEFM328D2EBV20A50Z337D9W187F94689DF34BEB&programid=4200000133&playtoken=31611KKXZAMDCOE10&verifycode=2017721582
CCTV17,http://httplive.slave.bfgd.com.cn:14311/playurl?playtype=live&protocol=http&accesstoken=R69383AD4U3098A04BK7843FCEEI2F3E2770P2BEFM328D2EBV20A50Z337D9W187F94689DF34BEB&programid=4200000204&playtoken=31611KKXZAMDCOE10&verifycode=2017721582

卫视,#genre#
北京卫视,http://httplive.slave.bfgd.com.cn:14311/playurl?playtype=live&protocol=http&accesstoken=R69383AD4U3098A04BK7843FCEEI2F3E2770P2BEFM328D2EBV20A50Z337D9W187F94689DF34BEB&programid=4200000083&playtoken=31611KKXZAMDCOE10&verifycode=2017721582
东方卫视,http://httplive.slave.bfgd.com.cn:14311/playurl?playtype=live&protocol=http&accesstoken=R69383AD4U3098A04BK7843FCEEI2F3E2770P2BEFM328D2EBV20A50Z337D9W187F94689DF34BEB&programid=4200000093&playtoken=31611KKXZAMDCOE10&verifycode=2017721582
山东卫视,http://httplive.slave.bfgd.com.cn:14311/playurl?playtype=live&protocol=http&accesstoken=R69383AD4U3098A04BK7843FCEEI2F3E2770P2BEFM328D2EBV20A50Z337D9W187F94689DF34BEB&programid=4200000099&playtoken=31611KKXZAMDCOE10&verifycode=2017721582
河南卫视,http://httplive.slave.bfgd.com.cn:14311/playurl?playtype=live&protocol=http&accesstoken=R69383AD4U3098A04BK7843FCEEI2F3E2770P2BEFM328D2EBV20A50Z337D9W187F94689DF34BEB&programid=4200000339&playtoken=31611KKXZAMDCOE10&verifycode=2017721582
安徽卫视,http://httplive.slave.bfgd.com.cn:14311/playurl?playtype=live&protocol=http&accesstoken=R69383AD4U3098A04BK7843FCEEI2F3E2770P2BEFM328D2EBV20A50Z337D9W187F94689DF34BEB&programid=4200000096&playtoken=31611KKXZAMDCOE10&verifycode=2017721582
东南卫视,http://httplive.slave.bfgd.com.cn:14311/playurl?playtype=live&protocol=http&accesstoken=R69383AD4U3098A04BK7843FCEEI2F3E2770P2BEFM328D2EBV20A50Z337D9W187F94689DF34BEB&programid=4200000483&playtoken=31611KKXZAMDCOE10&verifycode=2017721582
湖南卫视,http://httplive.slave.bfgd.com.cn:14311/playurl?playtype=live&protocol=http&accesstoken=R69383AD4U3098A04BK7843FCEEI2F3E2770P2BEFM328D2EBV20A50Z337D9W187F94689DF34BEB&programid=4200000086&playtoken=31611KKXZAMDCOE10&verifycode=2017721582
浙江卫视,http://httplive.slave.bfgd.com.cn:14311/playurl?playtype=live&protocol=http&accesstoken=R69383AD4U3098A04BK7843FCEEI2F3E2770P2BEFM328D2EBV20A50Z337D9W187F94689DF34BEB&programid=4200000094&playtoken=31611KKXZAMDCOE10&verifycode=2017721582
江苏卫视,http://httplive.slave.bfgd.com.cn:14311/playurl?playtype=live&protocol=http&accesstoken=R69383AD4U3098A04BK7843FCEEI2F3E2770P2BEFM328D2EBV20A50Z337D9W187F94689DF34BEB&programid=4200000085&playtoken=31611KKXZAMDCOE10&verifycode=2017721582
黑龙江卫视,http://httplive.slave.bfgd.com.cn:14311/playurl?playtype=live&protocol=http&accesstoken=R69383AD4U3098A04BK7843FCEEI2F3E2770P2BEFM328D2EBV20A50Z337D9W187F94689DF34BEB&programid=4200000095&playtoken=31611KKXZAMDCOE10&verifycode=2017721582
吉林卫视,http://httplive.slave.bfgd.com.cn:14311/playurl?playtype=live&protocol=http&accesstoken=R69383AD4U3098A04BK7843FCEEI2F3E2770P2BEFM328D2EBV20A50Z337D9W187F94689DF34BEB&programid=4200000097&playtoken=31611KKXZAMDCOE10&verifycode=2017721582
河北卫视,http://httplive.slave.bfgd.com.cn:14311/playurl?playtype=live&protocol=http&accesstoken=R69383AD4U3098A04BK7843FCEEI2F3E2770P2BEFM328D2EBV20A50Z337D9W187F94689DF34BEB&programid=4200000108&playtoken=31611KKXZAMDCOE10&verifycode=2017721582
天津卫视,http://httplive.slave.bfgd.com.cn:14311/playurl?playtype=live&protocol=http&accesstoken=R69383AD4U3098A04BK7843FCEEI2F3E2770P2BEFM328D2EBV20A50Z337D9W187F94689DF34BEB&programid=4200000084&playtoken=31611KKXZAMDCOE10&verifycode=2017721582
广西卫视,http://httplive.slave.bfgd.com.cn:14311/playurl?playtype=live&protocol=http&accesstoken=R69383AD4U3098A04BK7843FCEEI2F3E2770P2BEFM328D2EBV20A50Z337D9W187F94689DF34BEB&programid=4200000116&playtoken=31611KKXZAMDCOE10&verifycode=2017721582
海南卫视,http://httplive.slave.bfgd.com.cn:14311/playurl?playtype=live&protocol=http&accesstoken=R69383AD4U3098A04BK7843FCEEI2F3E2770P2BEFM328D2EBV20A50Z337D9W187F94689DF34BEB&programid=4200000473&playtoken=31611KKXZAMDCOE10&verifycode=2017721582
重庆卫视,http://httplive.slave.bfgd.com.cn:14311/playurl?playtype=live&protocol=http&accesstoken=R69383AD4U3098A04BK7843FCEEI2F3E2770P2BEFM328D2EBV20A50Z337D9W187F94689DF34BEB&programid=4200000107&playtoken=31611KKXZAMDCOE10&verifycode=2017721582
湖北卫视,http://httplive.slave.bfgd.com.cn:14311/playurl?playtype=live&protocol=http&accesstoken=R69383AD4U3098A04BK7843FCEEI2F3E2770P2BEFM328D2EBV20A50Z337D9W187F94689DF34BEB&programid=4200000102&playtoken=31611KKXZAMDCOE10&verifycode=2017721582
江西卫视,http://httplive.slave.bfgd.com.cn:14311/playurl?playtype=live&protocol=http&accesstoken=R69383AD4U3098A04BK7843FCEEI2F3E2770P2BEFM328D2EBV20A50Z337D9W187F94689DF34BEB&programid=4200000098&playtoken=31611KKXZAMDCOE10&verifycode=2017721582
广东卫视,http://httplive.slave.bfgd.com.cn:14311/playurl?playtype=live&protocol=http&accesstoken=R69383AD4U3098A04BK7843FCEEI2F3E2770P2BEFM328D2EBV20A50Z337D9W187F94689DF34BEB&programid=4200000092&playtoken=31611KKXZAMDCOE10&verifycode=2017721582
深圳卫视,http://httplive.slave.bfgd.com.cn:14311/playurl?playtype=live&protocol=http&accesstoken=R69383AD4U3098A04BK7843FCEEI2F3E2770P2BEFM328D2EBV20A50Z337D9W187F94689DF34BEB&programid=4200000100&playtoken=31611KKXZAMDCOE10&verifycode=2017721582
云南卫视,http://httplive.slave.bfgd.com.cn:14311/playurl?playtype=live&protocol=http&accesstoken=R69383AD4U3098A04BK7843FCEEI2F3E2770P2BEFM328D2EBV20A50Z337D9W187F94689DF34BEB&programid=4200000482&playtoken=31611KKXZAMDCOE10&verifycode=2017721582
贵州卫视,http://httplive.slave.bfgd.com.cn:14311/playurl?playtype=live&protocol=http&accesstoken=R69383AD4U3098A04BK7843FCEEI2F3E2770P2BEFM328D2EBV20A50Z337D9W187F94689DF34BEB&programid=4200000101&playtoken=31611KKXZAMDCOE10&verifycode=2017721582
四川卫视,http://httplive.slave.bfgd.com.cn:14311/playurl?playtype=live&protocol=http&accesstoken=R69383AD4U3098A04BK7843FCEEI2F3E2770P2BEFM328D2EBV20A50Z337D9W187F94689DF34BEB&programid=4200000103&playtoken=31611KKXZAMDCOE10&verifycode=2017721582
山西卫视,http://httplive.slave.bfgd.com.cn:14311/playurl?playtype=live&protocol=http&accesstoken=R69383AD4U3098A04BK7843FCEEI2F3E2770P2BEFM328D2EBV20A50Z337D9W187F94689DF34BEB&programid=4200000109&playtoken=31611KKXZAMDCOE10&verifycode=2017721582
陕西卫视,http://httplive.slave.bfgd.com.cn:14311/playurl?playtype=live&protocol=http&accesstoken=R69383AD4U3098A04BK7843FCEEI2F3E2770P2BEFM328D2EBV20A50Z337D9W187F94689DF34BEB&programid=4200000512&playtoken=31611KKXZAMDCOE10&verifycode=2017721582
甘肃卫视,http://httplive.slave.bfgd.com.cn:14311/playurl?playtype=live&protocol=http&accesstoken=R69383AD4U3098A04BK7843FCEEI2F3E2770P2BEFM328D2EBV20A50Z337D9W187F94689DF34BEB&programid=4200000119&playtoken=31611KKXZAMDCOE10&verifycode=2017721582
宁夏卫视,http://httplive.slave.bfgd.com.cn:14311/playurl?playtype=live&protocol=http&accesstoken=R69383AD4U3098A04BK7843FCEEI2F3E2770P2BEFM328D2EBV20A50Z337D9W187F94689DF34BEB&programid=4200000118&playtoken=31611KKXZAMDCOE10&verifycode=2017721582
内蒙古卫视,http://httplive.slave.bfgd.com.cn:14311/playurl?playtype=live&protocol=http&accesstoken=R69383AD4U3098A04BK7843FCEEI2F3E2770P2BEFM328D2EBV20A50Z337D9W187F94689DF34BEB&programid=4200000110&playtoken=31611KKXZAMDCOE10&verifycode=2017721582
青海卫视,http://httplive.slave.bfgd.com.cn:14311/playurl?playtype=live&protocol=http&accesstoken=R69383AD4U3098A04BK7843FCEEI2F3E2770P2BEFM328D2EBV20A50Z337D9W187F94689DF34BEB&programid=4200000111&playtoken=31611KKXZAMDCOE10&verifycode=2017721582
兵团卫视,http://httplive.slave.bfgd.com.cn:14311/playurl?playtype=live&protocol=http&accesstoken=R69383AD4U3098A04BK7843FCEEI2F3E2770P2BEFM328D2EBV20A50Z337D9W187F94689DF34BEB&programid=4200000124&playtoken=31611KKXZAMDCOE10&verifycode=2017721582
农林卫视,http://httplive.slave.bfgd.com.cn:14311/playurl?playtype=live&protocol=http&accesstoken=R69383AD4U3098A04BK7843FCEEI2F3E2770P2BEFM328D2EBV20A50Z337D9W187F94689DF34BEB&programid=4200000122&playtoken=31611KKXZAMDCOE10&verifycode=2017721582
延边卫视,http://httplive.slave.bfgd.com.cn:14311/playurl?playtype=live&protocol=http&accesstoken=R69383AD4U3098A04BK7843FCEEI2F3E2770P2BEFM328D2EBV20A50Z337D9W187F94689DF34BEB&programid=4200000117&playtoken=31611KKXZAMDCOE10&verifycode=2017721582
新疆卫视,http://httplive.slave.bfgd.com.cn:14311/playurl?playtype=live&protocol=http&accesstoken=R69383AD4U3098A04BK7843FCEEI2F3E2770P2BEFM328D2EBV20A50Z337D9W187F94689DF34BEB&programid=4200000150&playtoken=31611KKXZAMDCOE10&verifycode=2017721582
西藏卫视,http://httplive.slave.bfgd.com.cn:14311/playurl?playtype=live&protocol=http&accesstoken=R69383AD4U3098A04BK7843FCEEI2F3E2770P2BEFM328D2EBV20A50Z337D9W187F94689DF34BEB&programid=4200000121&playtoken=31611KKXZAMDCOE10&verifycode=2017721582

省内,#genre#
辽宁卫视,http://httplive.slave.bfgd.com.cn:14311/playurl?playtype=live&protocol=http&accesstoken=R69383AD4U3098A04BK7843FCEEI2F3E2770P2BEFM328D2EBV20A50Z337D9W187F94689DF34BEB&programid=4200000058&playtoken=31611KKXZAMDCOE10&verifycode=2017721582
辽宁都市,http://httplive.slave.bfgd.com.cn:14311/playurl?playtype=live&protocol=http&accesstoken=R69383AD4U3098A04BK7843FCEEI2F3E2770P2BEFM328D2EBV20A50Z337D9W187F94689DF34BEB&programid=4200000068&playtoken=31611KKXZAMDCOE10&verifycode=2017721582
辽宁体育,http://httplive.slave.bfgd.com.cn:14311/playurl?playtype=live&protocol=http&accesstoken=R69383AD4U3098A04BK7843FCEEI2F3E2770P2BEFM328D2EBV20A50Z337D9W187F94689DF34BEB&programid=4200000611&playtoken=31611KKXZAMDCOE10&verifycode=2017721582
辽宁北方,http://httplive.slave.bfgd.com.cn:14311/playurl?playtype=live&protocol=http&accesstoken=R69383AD4U3098A04BK7843FCEEI2F3E2770P2BEFM328D2EBV20A50Z337D9W187F94689DF34BEB&programid=4200000071&playtoken=31611KKXZAMDCOE10&verifycode=2017721582
辽宁影视,http://httplive.slave.bfgd.com.cn:14311/playurl?playtype=live&protocol=http&accesstoken=R69383AD4U3098A04BK7843FCEEI2F3E2770P2BEFM328D2EBV20A50Z337D9W187F94689DF34BEB&programid=4200000070&playtoken=31611KKXZAMDCOE10&verifycode=2017721582
辽宁生活,http://httplive.slave.bfgd.com.cn:14311/playurl?playtype=live&protocol=http&accesstoken=R69383AD4U3098A04BK7843FCEEI2F3E2770P2BEFM328D2EBV20A50Z337D9W187F94689DF34BEB&programid=4200000073&playtoken=31611KKXZAMDCOE10&verifycode=2017721582
辽宁公共,http://httplive.slave.bfgd.com.cn:14311/playurl?playtype=live&protocol=http&accesstoken=R69383AD4U3098A04BK7843FCEEI2F3E2770P2BEFM328D2EBV20A50Z337D9W187F94689DF34BEB&programid=4200000077&playtoken=31611KKXZAMDCOE10&verifycode=2017721582
辽宁经济,http://httplive.slave.bfgd.com.cn:14311/playurl?playtype=live&protocol=http&accesstoken=R69383AD4U3098A04BK7843FCEEI2F3E2770P2BEFM328D2EBV20A50Z337D9W187F94689DF34BEB&programid=4200000076&playtoken=31611KKXZAMDCOE10&verifycode=2017721582
辽宁教育,http://httplive.slave.bfgd.com.cn:14311/playurl?playtype=live&protocol=http&accesstoken=R69383AD4U3098A04BK7843FCEEI2F3E2770P2BEFM328D2EBV20A50Z337D9W187F94689DF34BEB&programid=4200000075&playtoken=31611KKXZAMDCOE10&verifycode=2017721582
北方导视,http://httplive.slave.bfgd.com.cn:14311/playurl?playtype=live&protocol=http&accesstoken=R69383AD4U3098A04BK7843FCEEI2F3E2770P2BEFM328D2EBV20A50Z337D9W187F94689DF34BEB&programid=4200000187&playtoken=31611KKXZAMDCOE10&verifycode=2017721582
沈阳新闻,http://httplive.slave.bfgd.com.cn:14311/playurl?playtype=live&protocol=http&accesstoken=R69383AD4U3098A04BK7843FCEEI2F3E2770P2BEFM328D2EBV20A50Z337D9W187F94689DF34BEB&programid=4200000059&playtoken=31611KKXZAMDCOE10&verifycode=2017721582
大连新闻,http://httplive.slave.bfgd.com.cn:14311/playurl?playtype=live&protocol=http&accesstoken=R69383AD4U3098A04BK7843FCEEI2F3E2770P2BEFM328D2EBV20A50Z337D9W187F94689DF34BEB&programid=4200000273&playtoken=31611KKXZAMDCOE10&verifycode=2017721582
鞍山新闻,http://httplive.slave.bfgd.com.cn:14311/playurl?playtype=live&protocol=http&accesstoken=R69383AD4U3098A04BK7843FCEEI2F3E2770P2BEFM328D2EBV20A50Z337D9W187F94689DF34BEB&programid=4200000274&playtoken=31611KKXZAMDCOE10&verifycode=2017721582
抚顺新闻,http://httplive.slave.bfgd.com.cn:14311/playurl?playtype=live&protocol=http&accesstoken=R69383AD4U3098A04BK7843FCEEI2F3E2770P2BEFM328D2EBV20A50Z337D9W187F94689DF34BEB&programid=4200000275&playtoken=31611KKXZAMDCOE10&verifycode=2017721582
营口新闻,http://httplive.slave.bfgd.com.cn:14311/playurl?playtype=live&protocol=http&accesstoken=R69383AD4U3098A04BK7843FCEEI2F3E2770P2BEFM328D2EBV20A50Z337D9W187F94689DF34BEB&programid=4200000278&playtoken=31611KKXZAMDCOE10&verifycode=2017721582
铁岭新闻,http://httplive.slave.bfgd.com.cn:14311/playurl?playtype=live&protocol=http&accesstoken=R69383AD4U3098A04BK7843FCEEI2F3E2770P2BEFM328D2EBV20A50Z337D9W187F94689DF34BEB&programid=4200000281&playtoken=31611KKXZAMDCOE10&verifycode=2017721582
辽阳新闻,http://httplive.slave.bfgd.com.cn:14311/playurl?playtype=live&protocol=http&accesstoken=R69383AD4U3098A04BK7843FCEEI2F3E2770P2BEFM328D2EBV20A50Z337D9W187F94689DF34BEB&programid=4200000280&playtoken=31611KKXZAMDCOE10&verifycode=2017721582
阜新新闻,http://httplive.slave.bfgd.com.cn:14311/playurl?playtype=live&protocol=http&accesstoken=R69383AD4U3098A04BK7843FCEEI2F3E2770P2BEFM328D2EBV20A50Z337D9W187F94689DF34BEB&programid=4200000279&playtoken=31611KKXZAMDCOE10&verifycode=2017721582
本溪新闻,http://httplive.slave.bfgd.com.cn:14311/playurl?playtype=live&protocol=http&accesstoken=R69383AD4U3098A04BK7843FCEEI2F3E2770P2BEFM328D2EBV20A50Z337D9W187F94689DF34BEB&programid=4200000312&playtoken=31611KKXZAMDCOE10&verifycode=2017721582
丹东新闻,http://httplive.slave.bfgd.com.cn:14311/playurl?playtype=live&protocol=http&accesstoken=R69383AD4U3098A04BK7843FCEEI2F3E2770P2BEFM328D2EBV20A50Z337D9W187F94689DF34BEB&programid=4200000276&playtoken=31611KKXZAMDCOE10&verifycode=2017721582
朝阳新闻,http://httplive.slave.bfgd.com.cn:14311/playurl?playtype=live&protocol=http&accesstoken=R69383AD4U3098A04BK7843FCEEI2F3E2770P2BEFM328D2EBV20A50Z337D9W187F94689DF34BEB&programid=4200000282&playtoken=31611KKXZAMDCOE10&verifycode=2017721582
盘锦新闻,http://httplive.slave.bfgd.com.cn:14311/playurl?playtype=live&protocol=http&accesstoken=R69383AD4U3098A04BK7843FCEEI2F3E2770P2BEFM328D2EBV20A50Z337D9W187F94689DF34BEB&programid=4200000283&playtoken=31611KKXZAMDCOE10&verifycode=2017721582
锦州新闻,http://httplive.slave.bfgd.com.cn:14311/playurl?playtype=live&protocol=http&accesstoken=R69383AD4U3098A04BK7843FCEEI2F3E2770P2BEFM328D2EBV20A50Z337D9W187F94689DF34BEB&programid=4200000277&playtoken=31611KKXZAMDCOE10&verifycode=2017721582
葫芦岛新闻,http://httplive.slave.bfgd.com.cn:14311/playurl?playtype=live&protocol=http&accesstoken=R69383AD4U3098A04BK7843FCEEI2F3E2770P2BEFM328D2EBV20A50Z337D9W187F94689DF34BEB&programid=4200000284&playtoken=31611KKXZAMDCOE10&verifycode=2017721582
连山综合,http://httplive.slave.bfgd.com.cn:14311/playurl?playtype=live&protocol=http&accesstoken=R69383AD4U3098A04BK7843FCEEI2F3E2770P2BEFM328D2EBV20A50Z337D9W187F94689DF34BEB&programid=4200000491&playtoken=31611KKXZAMDCOE10&verifycode=2017721582
龙港综合,http://httplive.slave.bfgd.com.cn:14311/playurl?playtype=live&protocol=http&accesstoken=R69383AD4U3098A04BK7843FCEEI2F3E2770P2BEFM328D2EBV20A50Z337D9W187F94689DF34BEB&programid=4200000490&playtoken=31611KKXZAMDCOE10&verifycode=2017721582

其他,#genre#
风云足球,http://httplive.slave.bfgd.com.cn:14311/playurl?playtype=live&protocol=http&accesstoken=R69383AD4U3098A04BK7843FCEEI2F3E2770P2BEFM328D2EBV20A50Z337D9W187F94689DF34BEB&programid=4200000225&playtoken=31611KKXZAMDCOE10&verifycode=2017721582
怀旧剧场,http://httplive.slave.bfgd.com.cn:14311/playurl?playtype=live&protocol=http&accesstoken=R69383AD4U3098A04BK7843FCEEI2F3E2770P2BEFM328D2EBV20A50Z337D9W187F94689DF34BEB&programid=4200000224&playtoken=31611KKXZAMDCOE10&verifycode=2017721582
世界地理,http://httplive.slave.bfgd.com.cn:14311/playurl?playtype=live&protocol=http&accesstoken=R69383AD4U3098A04BK7843FCEEI2F3E2770P2BEFM328D2EBV20A50Z337D9W187F94689DF34BEB&programid=4200000177&playtoken=31611KKXZAMDCOE10&verifycode=2017721582
电视指南,http://httplive.slave.bfgd.com.cn:14311/playurl?playtype=live&protocol=http&accesstoken=R69383AD4U3098A04BK7843FCEEI2F3E2770P2BEFM328D2EBV20A50Z337D9W187F94689DF34BEB&programid=4200000164&playtoken=31611KKXZAMDCOE10&verifycode=2017721582
女性时尚,http://httplive.slave.bfgd.com.cn:14311/playurl?playtype=live&protocol=http&accesstoken=R69383AD4U3098A04BK7843FCEEI2F3E2770P2BEFM328D2EBV20A50Z337D9W187F94689DF34BEB&programid=4200000176&playtoken=31611KKXZAMDCOE10&verifycode=2017721582
金鹰卡通,http://httplive.slave.bfgd.com.cn:14311/playurl?playtype=live&protocol=http&accesstoken=R69383AD4U3098A04BK7843FCEEI2F3E2770P2BEFM328D2EBV20A50Z337D9W187F94689DF34BEB&programid=4200000350&playtoken=31611KKXZAMDCOE10&verifycode=2017721582
卡酷少儿,http://httplive.slave.bfgd.com.cn:14311/playurl?playtype=live&protocol=http&accesstoken=R69383AD4U3098A04BK7843FCEEI2F3E2770P2BEFM328D2EBV20A50Z337D9W187F94689DF34BEB&programid=4200000106&playtoken=31611KKXZAMDCOE10&verifycode=2017721582
优优宝贝,http://httplive.slave.bfgd.com.cn:14311/playurl?playtype=live&protocol=http&accesstoken=R69383AD4U3098A04BK7843FCEEI2F3E2770P2BEFM328D2EBV20A50Z337D9W187F94689DF34BEB&programid=4200000153&playtoken=31611KKXZAMDCOE10&verifycode=2017721582
重温经典,http://httplive.slave.bfgd.com.cn:14311/playurl?playtype=live&protocol=http&accesstoken=R69383AD4U3098A04BK7843FCEEI2F3E2770P2BEFM328D2EBV20A50Z337D9W187F94689DF34BEB&programid=4200000635&playtoken=31611KKXZAMDCOE10&verifycode=2017721582
华诚影视,http://httplive.slave.bfgd.com.cn:14311/playurl?playtype=live&protocol=http&accesstoken=R69383AD4U3098A04BK7843FCEEI2F3E2770P2BEFM328D2EBV20A50Z337D9W187F94689DF34BEB&programid=4200000289&playtoken=31611KKXZAMDCOE10&verifycode=2017721582
纪实科技,http://httplive.slave.bfgd.com.cn:14311/playurl?playtype=live&protocol=http&accesstoken=R69383AD4U3098A04BK7843FCEEI2F3E2770P2BEFM328D2EBV20A50Z337D9W187F94689DF34BEB&programid=4200000113&playtoken=31611KKXZAMDCOE10&verifycode=2017721582
茶频道,http://httplive.slave.bfgd.com.cn:14311/playurl?playtype=live&protocol=http&accesstoken=R69383AD4U3098A04BK7843FCEEI2F3E2770P2BEFM328D2EBV20A50Z337D9W187F94689DF34BEB&programid=4200000181&playtoken=31611KKXZAMDCOE10&verifycode=2017721582
法治天下,http://httplive.slave.bfgd.com.cn:14311/playurl?playtype=live&protocol=http&accesstoken=R69383AD4U3098A04BK7843FCEEI2F3E2770P2BEFM328D2EBV20A50Z337D9W187F94689DF34BEB&programid=4200000162&playtoken=31611KKXZAMDCOE10&verifycode=2017721582
车迷频道,http://httplive.slave.bfgd.com.cn:14311/playurl?playtype=live&protocol=http&accesstoken=R69383AD4U3098A04BK7843FCEEI2F3E2770P2BEFM328D2EBV20A50Z337D9W187F94689DF34BEB&programid=4200000146&playtoken=31611KKXZAMDCOE10&verifycode=2017721582
国学频道,http://httplive.slave.bfgd.com.cn:14311/playurl?playtype=live&protocol=http&accesstoken=R69383AD4U3098A04BK7843FCEEI2F3E2770P2BEFM328D2EBV20A50Z337D9W187F94689DF34BEB&programid=4200000169&playtoken=31611KKXZAMDCOE10&verifycode=2017721582
环球旅游,http://httplive.slave.bfgd.com.cn:14311/playurl?playtype=live&protocol=http&accesstoken=R69383AD4U3098A04BK7843FCEEI2F3E2770P2BEFM328D2EBV20A50Z337D9W187F94689DF34BEB&programid=4200000147&playtoken=31611KKXZAMDCOE10&verifycode=2017721582
快乐垂钓,http://httplive.slave.bfgd.com.cn:14311/playurl?playtype=live&protocol=http&accesstoken=R69383AD4U3098A04BK7843FCEEI2F3E2770P2BEFM328D2EBV20A50Z337D9W187F94689DF34BEB&programid=4200000228&playtoken=31611KKXZAMDCOE10&verifycode=2017721582
